arm=dynamic_timing  head=hazard  labels=/scratch/tj2587/results/dynamic_v1/arrival_h360  timing=1  ckpt=/scratch/tj2587/results/gnn_hazard_v1/dynamic_timing  smoke=0
[gate] CUDA OK: NVIDIA L40S
[gate] heterodata data/graph/nyc_infra_heterodata_v1_frozen_failover_edges.pt: {'power': 203, 'telecom': 4150, 'hospital': 61, 'subway': 493, 'water': 137, 'fuel': 1187} total=6231 -> OK
[gate] /scratch/tj2587/results/dynamic_v1/arrival_h360 cascade_results files: 23 (need 23)
[gate] timing table OK: 6942 rows
[gate] head switch present: ('independent', 'hazard')
=== TRAIN MODE — full training ===
Train: 13600  Val: 3400  (17 scenarios) | Test held-out: ['geoclaw_2050', 'syn_ts_914_6_1p2955', 'syn_ts_258_9_3p0022', 'syn_ts_605_5_3p7563', 'syn_ts_808_27_3p7885'] (5000 runs)
Model parameters: 697,112  head=hazard
Device: cuda
[timing-features] loaded 23 scenarios from data/flood/timing/node_timing_jesse22_v1.csv (features ('arrival_h', 'duration_h', 'time_to_peak_h'), scaled by 96 h)
  Ep02 step 11700/13600: loss = 0.13908
  Ep02 step 11800/13600: loss = 0.14407
  Ep02 step 11900/13600: loss = 0.14029
  Ep02 step 12000/13600: loss = 0.14659
  Ep02 step 12100/13600: loss = 0.13629
  Ep02 step 12200/13600: loss = 0.14259
  Ep02 step 12300/13600: loss = 0.13969
  Ep02 step 12400/13600: loss = 0.13484
  Ep02 step 12500/13600: loss = 0.14725
  Ep02 step 12600/13600: loss = 0.14096
  Ep02 step 12700/13600: loss = 0.14568
  Ep02 step 12800/13600: loss = 0.14138
  Ep02 step 12900/13600: loss = 0.15229
  Ep02 step 13000/13600: loss = 0.14071
  Ep02 step 13100/13600: loss = 0.15070
  Ep02 step 13200/13600: loss = 0.14286
  Ep02 step 13300/13600: loss = 0.14810
  Ep02 step 13400/13600: loss = 0.13975
  Ep02 step 13500/13600: loss = 0.14044
  Ep02 step 13600/13600: loss = 0.13801

Epoch 02/6 | train=0.14403 val=0.16942 | AUC=['0.994', '0.989', '0.984', '0.985'] PR=['0.962', '0.954', '0.943', '0.953'] | CASCADE-only AUC=['0.992', '0.986', '0.981', '0.982'] PR=['0.915', '0.914', '0.904', '0.924'] | mono_viol=0.00000 | 2258s

  Ep03 step  100/13600: loss = 0.15086
  Ep03 step  200/13600: loss = 0.14626
  Ep03 step  300/13600: loss = 0.14363
  Ep03 step  400/13600: loss = 0.13859
  Ep03 step  500/13600: loss = 0.14752
  Ep03 step  600/13600: loss = 0.14792
  Ep03 step  700/13600: loss = 0.14198
  Ep03 step  800/13600: loss = 0.15085
  Ep03 step  900/13600: loss = 0.14551
  Ep03 step 1000/13600: loss = 0.14275
  Ep03 step 1100/13600: loss = 0.14507
